Nome,Categoria,Tempo,Stagioni,Pianificazione,Freezer,Avanzi,Gradimento,Porzioni,Ingredienti,Link
Pasta con patate e pancetta,Pasta,Normale (30-45),Tutto l'anno,nessuna,non-adatta,ottima,ci-piace,3 porzioni,Pasta mista o corta: 200 g | Patate: 500 g | Pancetta a cubetti: 100 g | Carota: 1 pezzo | Sedano: 1 pezzo | Cipolla: 1 pezzo | Concentrato di pomodoro: 1 cucchiaio | Parmigiano grattugiato: per servire | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.,https://www.tavolartegusto.it/ricetta/pasta-e-patate-la-ricetta-napoletana/
Pasta con zucca e salsiccia,Pasta,Normale (30-45),"Autunno, Inverno",nessuna,meal-prep,buona,ci-piace,3 porzioni,Pasta corta: 250 g | Zucca: 400 g | Salsiccia: 200 g | Cipolla: 1 | Vino bianco: mezzo bicchiere | Olio EVO: q.b. | Parmigiano grattugiato: q.b. | Sale: q.b. | Pepe: q.b.,
Pasta con zucca e taleggio,Pasta,Normale (30-45),"Autunno, Inverno",nessuna,non-adatta,buona,ci-piace,3 porzioni,Pasta corta: 250 g | Zucca: 400 g | Taleggio: 150 g | Scalogno o cipolla: 1 | Panna da cucina: 50 ml | Noce moscata: q.b. | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.,
Pasta con broccoli e salsiccia,Pasta,Normale (30-45),"Autunno, Inverno",nessuna,non-adatta,meglio-fatta,ci-piace,3 porzioni,"Pasta corta (orecchiette o fusilli): 240 g | Broccoli: 1 (circa 500 g) | Salsiccia: 250 g | Aglio: 1 spicchio | Vino bianco: facoltativo, mezzo bicchiere | Peperoncino: facoltativo | Parmigiano grattugiato: 40 g | Olio EVO: q.b. | Sale: q.b.",https://www.cucchiaio.it/ricetta/pasta-con-broccoli-e-salsiccia/
"Pasta con cavolfiore, acciughe e pangrattato",Pasta,Normale (30-45),"Autunno, Inverno",nessuna,non-adatta,buona,ci-piace,3 porzioni,Pasta corta: 250 g | Cavolfiore: 1 | Acciughe sott'olio: 6 filetti | Aglio: 1 spicchio | Peperoncino: q.b. | Pangrattato: 3 cucchiai | Olio EVO: q.b. | Sale: q.b.,
Pasta con ricotta e pomodoro,Pasta,Veloce (20-30),Estate,nessuna,non-adatta,buona,ci-piace,3 porzioni,Pasta corta: 220 g | Ricotta: 250 g | Passata di pomodoro: 300 g | Scalogno o cipolla: mezzo | Basilico: q.b. | Olio EVO: q.b. | Parmigiano grattugiato: q.b. | Sale: q.b.,
Pasta con crema di melanzane e mozzarella,Pasta,Normale (30-45),Estate,nessuna,non-adatta,buona,ci-piace,3 porzioni,Pasta corta: 250 g | Melanzane: 1 grande | Mozzarella: 150 g | Passata di pomodoro: 150 g | Basilico: q.b. | Aglio: 1 spicchio | Olio EVO: q.b. | Sale: q.b.,
Pasta con stracchino e zucchine,Pasta,Veloce (20-30),Estate,nessuna,non-adatta,buona,ci-piace,3 porzioni,Pasta: 210 g | Zucchine: 3 | Stracchino: 150 g | Scalogno piccolo: 1 | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b. | Parmigiano grattugiato: facoltativo,https://blog.giallozafferano.it/lebistro/pasta-con-zucchine-e-stracchino/
Risotto zucca e taleggio,Riso,Normale (30-45),"Autunno, Inverno",nessuna,non-adatta,buona,ci-piace,3 porzioni,Riso Carnaroli: 240 g | Zucca: 400 g | Cipolla: 1 | Taleggio: 100 g | Parmigiano grattugiato: 40 g | Brodo vegetale: 1 l | Vino bianco: mezzo bicchiere | Burro: 20 g | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.,
Risotto pere e taleggio,Riso,Normale (30-45),"Autunno, Inverno",nessuna,non-adatta,buona,ci-piace,3 porzioni,Riso Carnaroli: 240 g | Pere: 2 | Scalogno o cipolla: 1 | Taleggio: 100 g | Parmigiano grattugiato: 30 g | Brodo vegetale: 1 l | Vino bianco: mezzo bicchiere | Burro: 30 g | Sale: q.b. | Pepe: q.b.,
Risotto salsiccia e funghi,Riso,Normale (30-45),Autunno,nessuna,non-adatta,meglio-fatta,ci-piace,3 porzioni,Riso Carnaroli: 240 g | Salsiccia: 250 g | Funghi misti freschi: 250 g | Scalogno o cipolla: 1 | Brodo vegetale: circa 700 ml | Vino bianco o rosso: mezzo bicchiere | Burro: 20 g | Parmigiano grattugiato: 50 g | Prezzemolo: q.b. | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.,https://www.cucchiaio.it/ricetta/risotto-ai-funghi-e-salsiccia/
Risotto radicchio e salsiccia,Riso,Normale (30-45),"Autunno, Inverno",nessuna,non-adatta,buona,ci-piace,3 porzioni,Riso Carnaroli: 240 g | Radicchio: 1 cespo | Salsiccia: 250 g | Cipolla: 1/2 | Vino rosso: mezzo bicchiere | Brodo vegetale: 1 l | Parmigiano grattugiato: 40 g | Burro: 20 g | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.,
Risotto ai quattro formaggi,Riso,Normale (30-45),Tutto l'anno,nessuna,non-adatta,meglio-fatta,ci-piace,3 porzioni,"Riso Carnaroli o Vialone Nano: 240 g | Brodo vegetale: circa 700 ml | Scalogno (o mezza cipolla): 1 | Burro: 30 g | Taleggio: 100 g | Gorgonzola: 60 g | Parmigiano grattugiato: 60 g | Provolone o brie: 40 g | Vino bianco: facoltativo, per sfumare | Pepe: q.b.",https://ricette.giallozafferano.it/Risotto-ai-4-formaggi.html
Polenta con ragù,Riso,Normale (30-45),"Autunno, Inverno",prep-anticipata,base,ottima,ci-piace,3 porzioni,"Farina di mais per polenta: 250 g | Acqua: circa 1 litro | Sale grosso: q.b. | Carne macinata: 300 g | Cipolla: 1 pezzo | Carota: 1 pezzo | Sedano: 1 pezzo | Passata di pomodoro: 400 g | Vino rosso: mezzo bicchiere, facoltativo | Parmigiano grattugiato: per servire | Olio EVO: q.b.",https://www.cookaround.com/ricetta/Polenta-al-ragu-di-carne.html
Polenta con salsiccia e funghi,Riso,Lunga (45-90),"Autunno, Inverno",nessuna,base,buona,ci-piace,3 porzioni,"Farina di mais per polenta: 250 g | Acqua: circa 1 litro | Sale grosso: q.b. | Salsiccia: 300 g | Funghi misti freschi: 300 g | Aglio: 1 spicchio | Vino bianco: facoltativo, mezzo bicchiere | Prezzemolo: q.b. | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.",https://www.cookist.it/risotto-funghi-e-salsiccia-ricetta/
Polenta con gorgonzola e speck,Riso,Veloce (20-30),"Autunno, Inverno",nessuna,non-adatta,buona,ci-piace,3 porzioni,Farina di mais per polenta: 250 g | Gorgonzola: 150 g | Speck: 100 g | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.,
Polenta con brasato,Riso,Progetto (>90),"Autunno, Inverno",prep-anticipata,meal-prep,buona,ci-piace,4 porzioni,Manzo per brasato (muscolo o cappello del prete): 800 g | Vino rosso corposo: circa 750 ml | Carota: 1 pezzo | Sedano: 1 pezzo | Cipolla: 1 pezzo | Alloro: 1-2 foglie | Chiodi di garofano: 2 | Farina: per infarinare | Farina di mais per polenta: 250 g | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.,
Polenta pasticciata al forno,Riso,Lunga (45-90),"Autunno, Inverno",nessuna,meal-prep,buona,ci-piace,3 porzioni,Farina di mais per polenta: 250 g | Passata di pomodoro: 300 g | Salsiccia: 200 g | Mozzarella: 150 g | Parmigiano grattugiato: 40 g | Burro: 20 g | Aglio: 1 spicchio | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.,
"Teglia di patate, salsiccia e verdure",Forno,Lunga (45-90),Tutto l'anno,nessuna,meal-prep,buona,ci-piace,3 porzioni,Patate: 4 medie | Salsiccia: 400 g | Peperoni: 1 | Zucchine: 2 | Rosmarino: q.b. | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.,
"Teglia di pollo, patate e peperoni",Forno,Lunga (45-90),"Estate, Autunno",nessuna,meal-prep,buona,ci-piace,3 porzioni,Pollo a pezzi (cosce o petto): 600 g | Patate: 4 medie | Peperoni: 2 | Cipolla: 1 | Paprika dolce: q.b. | Rosmarino: q.b. | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.,
Parmigiana di zucchine,Forno,Lunga (45-90),Estate,nessuna,congelabile,buona,ci-piace,4 porzioni,Zucchine: 1 kg | Passata di pomodoro: 400 g | Mozzarella: 250 g | Parmigiano grattugiato: 60 g | Aglio: 1 spicchio | Basilico: q.b. | Olio EVO: q.b. | Sale: q.b.,https://www.cucchiaio.it/ricetta/parmigiana-di-zucchine/
Parmigiana di patate,Forno,Lunga (45-90),"Autunno, Inverno",nessuna,meal-prep,buona,ci-piace,3 porzioni,Patate: 800 g | Passata di pomodoro: 300 g | Mozzarella o provola: 200 g | Parmigiano grattugiato: 50 g | Basilico: q.b. | Olio EVO: q.b. | Sale: q.b.,
Torta di patate e carne,Forno,Lunga (45-90),Tutto l'anno,nessuna,meal-prep,buona,ci-piace,4 porzioni,Patate: 800 g | Carne macinata mista: 300 g | Cipolla: 1 | Vino bianco: mezzo bicchiere | Uova: 1 | Parmigiano grattugiato: 50 g | Pangrattato: q.b. | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.,
Moussaka italiana di melanzane e carne,Forno,Lunga (45-90),Estate,nessuna,meal-prep,buona,ci-piace,4 porzioni,Melanzane: 2 grandi | Carne macinata mista: 400 g | Passata di pomodoro: 300 g | Cipolla: 1 | Aglio: 1 spicchio | Vino rosso: mezzo bicchiere | Cannella: un pizzico | Besciamella: 400 g | Parmigiano grattugiato: 50 g | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.,
Pasta e zucca,Pasta,Normale (30-45),"Autunno, Inverno",nessuna,non-adatta,ottima,ci-piace,3 porzioni,Pasta corta: 200 g | Zucca: 500 g di polpa | Carota: 1 pezzo | Sedano: 1 pezzo | Cipolla: 1 pezzo | Brodo vegetale o acqua: circa 800 ml | Parmigiano grattugiato: per servire | Rosmarino: facoltativo | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.,https://www.cookist.it/vellutata-di-zucca-la-ricetta/
Vellutata di zucca + crostini + formaggio,Forno,Normale (30-45),"Autunno, Inverno",nessuna,meal-prep,buona,ci-piace,3 porzioni,Zucca: 600 g | Patate: 1 | Cipolla: 1 | Brodo vegetale: 700 ml | Panna da cucina: 100 ml | Pane: 100 g | Parmigiano grattugiato: q.b. | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.,
"Zuppa di patate, porri e parmigiano",Forno,Normale (30-45),"Autunno, Inverno",nessuna,meal-prep,buona,ci-piace,3 porzioni,Patate: 4 medie | Porro o cipolla: 2 | Brodo vegetale: 1 l | Parmigiano grattugiato: 60 g | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.,
Zuppa di ceci e zucca,Legumi,Lunga (45-90),"Autunno, Inverno",ammollo,congelabile,ottima,ci-piace,3 porzioni,Zucca: 500 g di polpa | Ceci già cotti: 400 g | Cipolla: 1/2 | Brodo vegetale: circa 500 ml | Rosmarino: 1 rametto | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b. | Pane per crostini: facoltativo,https://www.cookist.it/zuppa-ceci-e-zucca-ricetta/
Zuppa di lenticchie e patate,Legumi,Normale (30-45),"Autunno, Inverno",nessuna,congelabile,ottima,ci-piace,3 porzioni,Lenticchie già cotte: 400 g | Patate: 2 medie | Carota: 1 pezzo | Sedano: 1 pezzo | Cipolla: 1 pezzo | Passata di pomodoro: 150 g | Brodo vegetale o acqua: circa 700 ml | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.,https://www.cookist.it/zuppa-di-lenticchie-la-ricetta/
Minestrone ricco con legumi,Legumi,Lunga (45-90),"Autunno, Inverno",nessuna,congelabile,ottima,ci-piace,4 porzioni,"Fagioli e ceci già cotti: 300 g totali | Patate: 1-2 | Zucchine: 1-2 | Carota: 1 pezzo | Sedano: 1 pezzo | Cipolla: 1 pezzo | Bietole o altre verdure a foglia: facoltative, un mazzetto | Passata di pomodoro: facoltativa, 100 g | Acqua o brodo vegetale: circa 1,5 l | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.",https://www.fattoincasadabenedetta.it/ricetta/minestrone-ricco/
Polenta e funghi,Riso,Normale (30-45),"Autunno, Inverno",nessuna,meal-prep,buona,ci-piace,3 porzioni,Farina di mais per polenta: 250 g | Funghi misti freschi: 400 g | Scalogno piccolo: 1 | Aglio: 1 spicchio | Prezzemolo: q.b. | Vino bianco: mezzo bicchiere | Burro: 20 g | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.,
Salmone in crosta,Pesce,Lunga (45-90),Tutto l'anno,nessuna,non-adatta,meglio-fatta,ci-piace,3 porzioni,Filetti di salmone: 3 (circa 150 g l'uno) | Pangrattato: 80 g | Prezzemolo: q.b. | Timo: q.b. | Limone (scorza): 1 | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.,https://www.cucchiaio.it/ricetta/salmone-in-crosta-con-patate-al-forno/
Salmone con patate al forno,Pesce,Lunga (45-90),Tutto l'anno,nessuna,non-adatta,meglio-fatta,ci-piace,3 porzioni,Filetti di salmone: 3 (circa 150 g l'uno) | Patate: 500 g | Limone: 1 | Aglio: 1 spicchio | Rosmarino: q.b. | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.,https://www.agrodolce.it/ricette/salmone-e-patate-al-forno
"Salmone gratinato con pangrattato, prezzemolo e limone",Pesce,Normale (30-45),Tutto l'anno,nessuna,non-adatta,meglio-fatta,ci-piace,3 porzioni,Filetti di salmone: 3 (circa 150 g l'uno) | Pangrattato: 80 g | Prezzemolo: q.b. | Limone (scorza e succo): 1 | Aglio: 1 spicchio | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.,https://www.fattoincasadabenedetta.it/ricetta/merluzzo-gratinato-al-forno/
Merluzzo alla mediterranea,Pesce,Normale (30-45),Tutto l'anno,nessuna,non-adatta,meglio-fatta,ogni-tanto,3 porzioni,Filetti di merluzzo: 3 (circa 150 g l'uno) | Pomodorini: 250 g | Olive nere: 60 g | Capperi: 20 g | Aglio: 1 spicchio | Origano: q.b. | Prezzemolo: q.b. | Olio EVO: q.b. | Sale: q.b.,https://www.cookist.it/filetti-di-merluzzo-alla-mediterranea/
Merluzzo gratinato con patate,Pesce,Lunga (45-90),Tutto l'anno,nessuna,non-adatta,meglio-fatta,ci-piace,3 porzioni,Filetti di merluzzo: 3 (circa 150 g l'uno) | Patate: 500 g | Pangrattato: 80 g | Aglio: 1 spicchio | Prezzemolo: q.b. | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.,https://blog.giallozafferano.it/peperoncino88/merluzzo-gratinato-con-patate/
"Polpette di tonno, ricotta e parmigiano",Pesce,Lunga (45-90),Tutto l'anno,nessuna,base,buona,ci-piace,3 porzioni,Tonno in scatola: 250 g | Ricotta: 150 g | Uovo: 1 | Parmigiano grattugiato: 40 g | Prezzemolo: q.b. | Pangrattato: per la panatura | Olio per friggere: q.b. | Sale: q.b. | Pepe: q.b.,https://www.cucchiaio.it/ricetta/polpette-di-tonno-e-ricotta/
Gnocchi di patate fatti in casa,Riso,Lunga (45-90),Tutto l'anno,prep-anticipata,meal-prep,buona,ci-piace,4 porzioni,Patate: 1 kg | Farina 00: 300 g | Uova: 1 | Sale: q.b.,
Pasta fresca fatta in casa,Forno,Lunga (45-90),Tutto l'anno,nessuna,meal-prep,buona,ci-piace,4 porzioni,Farina 00: 400 g | Uova: 4 | Sale: q.b.,
Ravioli/tortelli fatti in casa,Forno,Progetto (>90),Tutto l'anno,prep-anticipata,meal-prep,buona,ci-piace,4 porzioni,Farina 00: 400 g | Uova: 4 | Ricotta: 250 g | Spinaci: 200 g | Parmigiano grattugiato: 60 g | Noce moscata: q.b. | Burro: 40 g | Salvia: q.b. | Sale: q.b. | Pepe: q.b.,
Pizza fatta in casa,Forno,Lunga (45-90),Tutto l'anno,impasto-lievitazione,base,buona,ci-piace,3 pizze,"Farina 00 (o mix con Manitoba): 500 g | Acqua: 320 ml | Lievito di birra fresco: 4 g (o 1,5 g secco) | Sale: 12 g | Olio EVO: 2 cucchiai | Passata di pomodoro: 400 g | Mozzarella: 300 g | Basilico: q.b. | Origano: q.b.",https://www.cookaround.com/ricetta/Impasto-per-la-pizza.html
Focaccia,Forno,Lunga (45-90),Tutto l'anno,impasto-lievitazione,base,buona,ci-piace,6 porzioni,Farina 0 (o mix con Manitoba): 500 g | Acqua: 400 ml | Lievito di birra fresco: 10 g (o 3 g secco) | Olio EVO: 90 ml | Sale: 10 g | Zucchero o miele: 1 cucchiaino | Sale grosso: q.b.,https://www.accademianazionalepizzadoc.it/focaccia-genovese-ricetta-fugassa-ligure-originale/
Arancini,Forno,Lunga (45-90),Tutto l'anno,prep-anticipata,meal-prep,buona,ci-piace,4 porzioni,Riso Carnaroli: 400 g | Zafferano: 1 bustina | Carne macinata mista: 200 g | Passata di pomodoro: 200 g | Piselli (surgelati o già lessati): 100 g | Cipolla: 1 | Vino bianco: mezzo bicchiere | Mozzarella: 150 g | Parmigiano grattugiato: 60 g | Farina: q.b. | Uova: 2 | Pangrattato: q.b. | Olio per friggere: q.b. | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.,
Olive all'ascolana,Forno,Lunga (45-90),Tutto l'anno,nessuna,meal-prep,buona,ci-piace,4 porzioni,Olive verdi: 400 g | Carne macinata mista: 200 g | Carota: 1 | Sedano: 1 costa | Cipolla: 1 | Vino bianco: mezzo bicchiere | Uova: 2 | Parmigiano grattugiato: 40 g | Noce moscata: q.b. | Farina: q.b. | Pangrattato: q.b. | Olio per friggere: q.b. | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.,
Pollo fritto,Forno,Normale (30-45),Tutto l'anno,marinatura,non-adatta,meglio-fatta,ci-piace,3 porzioni,Petto di pollo o cosce disossate: 500 g | Latticello (o yogurt bianco diluito con poco latte): 200 ml | Farina: 150 g | Paprika dolce: 1 cucchiaino | Aglio in polvere: 1 cucchiaino | Sale: q.b. | Pepe: q.b. | Olio di semi per friggere: abbondante,https://www.cucchiaio.it/ricetta/pollo-fritto/
Verdure in pastella,Forno,Normale (30-45),Tutto l'anno,nessuna,non-adatta,meglio-fatta,ci-piace,3 porzioni,Zucchine: 2 | Carota: 1 | Peperoni: 1 | Farina 00: 150 g | Acqua frizzante: 200 ml | Olio per friggere: q.b. | Sale: q.b.,
Pasta alla Norma,Pasta,Normale (30-45),Tutto l'anno,nessuna,base,ottima,ci-piace,3 porzioni,Pasta: 210 g | Melanzane: 1 (circa 350–400 g) | Passata di pomodoro: 350 g | Aglio: 1 spicchio | Ricotta salata: 60–70 g | Basilico: q.b. | Olio EVO: q.b. | Olio per friggere: q.b. | Sale: q.b.,
Prosciutto e melone,Carne,Express (≤20min),Estate,nessuna,non-adatta,meglio-fatta,ci-piace,3 porzioni,Melone maturo: 1 | Prosciutto crudo a fette: 150–180 g | Pepe: facoltativo,https://www.cookist.it/prosciutto-e-melone-ricetta/
Spiedini con patate,Forno,Lunga (45-90),Tutto l'anno,nessuna,non-adatta,buona,ci-piace,3 porzioni,"Petto di pollo o lonza di maiale a cubetti: 400 g | Salsiccia: 200 g | Pancetta a cubetti: facoltativa, 100 g | Spiedini già pronti (dal freezer): facoltativi, in alternativa alla carne cruda se già assemblati in anticipo | Patate: 500 g | Peperoni: 1 | Rosmarino: qualche rametto | Salvia: qualche foglia | Aglio: 1 spicchio | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.",https://blog.giallozafferano.it/cucinoperpassione/ricetta-spiedini-al-forno-con-patate/
Finocchi,Verdure,Express (≤20min),"Autunno, Inverno",nessuna,non-adatta,buona,ci-piace,3 porzioni,Finocchi: 2 | Olio EVO: q.b. | Limone: mezzo (succo) | Sale: q.b. | Pepe: q.b.,
